"matchid","platform","mapname","gamemode","max_roundnumber","count_rows","team0_role_firstround","team1_role_firstround","team0_user_attributes_firstround","team1_user_attributes_firstround","team0_user_attributes_lastround","team1_user_attributes_lastround","team0_changed","team0_deltasize","team0_startsize","team1_changed","team1_deltasize","team1_startsize","max_count_rows","team0_role_count_round_won","team1_role_count_round_won","team0_meanlevel","team0_stdlevel","team0_skillranks","team1_meanlevel","team1_stdlevel","team1_skillranks","deltateam_meanlevel","deltateam_stdlevel","deltateam_skillranks_ed","abs_deltateam_meanlevel","abs_deltateam_stdlevel","teamreference_won","date","weekdate","patch","dateid"
"3790740329","PS4","OREGON","PvP � BOMB","5","49","Attacker","Defender","[[Gold, 123], [Copper, 129], [Unranked, 20], [Gold, 88], [Silver, 109]]","[[Gold, 66], [Silver, 73], [Gold, 35], [Gold, 168], [Silver, 143]]","[[Gold, 88], [Gold, 123], [Copper, 129], [Unranked, 20], [Silver, 109]]","[[Silver, 73], [Silver, 143], [Gold, 168], [Gold, 66], [Gold, 35]]","0","0","5","0","0","5","5","4","1","93.8","39.503925","[1, 1, 0, 1, 2, 0, 0]","97.0","50.075943","[0, 0, 0, 2, 3, 0, 0]","-3.199997","-10.572018","2.0","3.199997","10.572018","1","2017-05-07 00:00:00.000","19","2.1.3","20170507"
"1913390521","PS4","COASTLINE","PvP � SECURE AREA","5","44","Attacker","Defender","[[Unranked, 22], [Unranked, 55], [Unranked, 30], [Unranked, 24], [Unranked, 54]]","[[Unranked, 87], [Unranked, 22], [Silver, 29], [Unranked, 72], [Unranked, 24]]","[[Unranked, 30], [Unranked, 55], [Unranked, 22], [Unranked, 24]]","[[Unranked, 87], [Unranked, 24], [Unranked, 22], [Silver, 29]]","1","-1","5","1","-1","5","5","4","1","37.0","14.5327215","[5, 0, 0, 0, 0, 0, 0]","46.8","27.213232","[4, 0, 0, 1, 0, 0, 0]","-9.799999","-12.6805105","1.4142135","9.799999","12.6805105","1","2017-02-11 00:00:00.000","6","2.1.0","20170211"
"2305272989","XONE","HOUSE","PvP � SECURE AREA","6","59","Attacker","Defender","[[Gold, 58], [Gold, 149], [Gold, 124], [Gold, 89], [Silver, 85]]","[[Silver, 140], [Silver, 45], [Gold, 126], [Gold, 129]]","[[Gold, 124], [Gold, 89], [Silver, 85], [Gold, 58], [Gold, 149]]","[[Unranked, 2], [Silver, 45], [Silver, 140], [Gold, 129], [Gold, 126]]","0","0","5","1","1","4","5","4","2","101.0","31.88103","[0, 0, 0, 1, 4, 0, 0]","110.0","37.887993","[0, 0, 0, 2, 2, 0, 0]","-9.0","-6.0069637","2.236068","9.0","6.0069637","1","2017-03-26 00:00:00.000","13","2.1.2","20170326"
"4165999809","PS4","YACHT","PvP � BOMB","6","60","Attacker","Defender","[[Gold, 46], [Platinum, 73], [Unranked, 10], [Gold, 185], [Unranked, 7]]","[[Platinum, 213], [Silver, 178], [Gold, 199], [Platinum, 104], [Silver, 149]]","[[Platinum, 73], [Unranked, 10], [Gold, 185], [Unranked, 7], [Gold, 46]]","[[Gold, 199], [Platinum, 213], [Platinum, 104], [Silver, 149], [Silver, 178]]","0","0","5","0","0","5","5","4","2","64.2","65.13187","[2, 0, 0, 0, 2, 1, 0]","168.6","38.836067","[0, 0, 0, 2, 1, 2, 0]","-104.40001","26.2958","3.1622777","104.40001","26.2958","1","2017-04-06 00:00:00.000","14","2.1.2","20170406"
"2592281089","PS4","COASTLINE","PvP � BOMB","8","73","Attacker","Defender","[[Platinum, 200], [Silver, 157], [Platinum, 177], [Diamond, 216], [Platinum, 103]]","[[Gold, 163], [Platinum, 244], [Gold, 36], [Platinum, 59], [Platinum, 199]]","[[Silver, 157], [Diamond, 216], [Platinum, 200], [Platinum, 177]]","[[Platinum, 59], [Gold, 36], [Gold, 163], [Platinum, 199], [Platinum, 244]]","1","-1","5","0","0","5","5","3","5","170.6","39.296818","[0, 0, 0, 1, 0, 3, 1]","140.2","80.2531","[0, 0, 0, 0, 2, 3, 0]","30.40001","-40.95628","2.4494898","30.40001","40.95628","0","2017-04-11 00:00:00.000","15","2.1.2","20170411"
"2425025049","XONE","COASTLINE","PvP � SECURE AREA","6","56","Attacker","Defender","[[Gold, 139], [Unranked, 10], [Gold, 91], [Gold, 111], [Unranked, 41]]","[[Bronze, 70], [Unranked, 83], [Gold, 135], [Gold, 137], [Gold, 137]]","[[Unranked, 10], [Gold, 91], [Gold, 111], [Unranked, 41]]","[[Gold, 137], [Gold, 137], [Bronze, 70], [Gold, 135], [Unranked, 83]]","1","-1","5","0","0","5","5","2","4","78.4","46.842716","[2, 0, 0, 0, 3, 0, 0]","112.4","29.608107","[1, 0, 1, 0, 3, 0, 0]","-34.0","17.23461","1.4142135","34.0","17.23461","0","2017-03-08 00:00:00.000","10","2.1.1","20170308"
"2046804281","XONE","BARTLETT U.","PvP � SECURE AREA","6","57","Attacker","Defender","[[Silver, 143], [Gold, 129], [Gold, 87], [Gold, 39], [Gold, 93]]","[[Gold, 141], [Platinum, 195], [Platinum, 140], [Gold, 133], [Gold, 83]]","[[Gold, 93], [Silver, 143], [Gold, 87], [Gold, 39], [Gold, 129]]","[[Gold, 83], [Platinum, 195], [Platinum, 140], [Gold, 133]]","0","0","5","1","-1","5","5","2","4","98.2","36.36702","[0, 0, 0, 1, 4, 0, 0]","138.4","35.52802","[0, 0, 0, 0, 3, 2, 0]","-40.199997","0.8390007","2.4494898","40.199997","0.8390007","0","2017-03-31 00:00:00.000","13","2.1.2","20170331"
"2190402089","PC","FAVELAS","PvP � HOSTAGE","6","54","Attacker","Defender","[[Copper, 81], [Copper, 83], [Copper, 72], [Copper, 66], [Copper, 72]]","[[Copper, 27], [Copper, 55], [Copper, 94], [Copper, 108], [Copper, 79]]","[[Copper, 72], [Copper, 72], [Copper, 83], [Copper, 66]]","[[Copper, 27], [Copper, 94], [Copper, 55], [Copper, 108]]","1","-1","5","1","-1","5","5","2","4","74.8","6.305553","[0, 5, 0, 0, 0, 0, 0]","72.6","28.77916","[0, 5, 0, 0, 0, 0, 0]","2.2000046","-22.473606","0.0","2.2000046","22.473606","0","2017-04-10 00:00:00.000","15","2.1.2","20170410"
"3162130049","PS4","HOUSE","PvP � BOMB","4","40","Attacker","Defender","[[Silver, 87], [Silver, 88], [Gold, 118], [Gold, 116], [Silver, 70]]","[[Bronze, 80], [Gold, 81], [Silver, 113], [Diamond, 135], [Gold, 140]]","[[Silver, 88], [Silver, 87], [Gold, 116], [Silver, 70], [Gold, 118]]","[[Silver, 113], [Gold, 81], [Bronze, 80], [Diamond, 135], [Gold, 140]]","0","0","5","0","0","5","5","0","4","95.8","18.465103","[0, 0, 0, 3, 2, 0, 0]","109.8","25.592186","[0, 0, 1, 1, 2, 0, 1]","-14.0","-7.127083","2.4494898","14.0","7.127083","0","2017-04-29 00:00:00.000","17","2.1.3","20170429"
"3347013489","XONE","OREGON","PvP � SECURE AREA","5","40","Attacker","Defender","[[Platinum, 68], [Platinum, 175], [Platinum, 91], [Platinum, 178], [Platinum, 36]]","[[Platinum, 143], [Platinum, 196], [Platinum, 174]]","[[Platinum, 175], [Platinum, 91], [Platinum, 68], [Platinum, 178], [Platinum, 36]]","[[Platinum, 174], [Platinum, 143], [Platinum, 196]]","0","0","5","0","0","3","5","4","1","109.6","57.35713","[0, 0, 0, 0, 0, 5, 0]","171.0","21.740898","[0, 0, 0, 0, 0, 3, 0]","-61.4","35.61623","2.0","61.4","35.61623","1","2017-04-29 00:00:00.000","17","2.1.3","20170429"
